category,type,name,weight,worn,consumable,link
hygiene,Hand Sanitizer,,1.62,,yes,
hygiene,Trowel,BoglerCo Ultralight Trowel,0.48,,,https://www.garagegrowngear.com/products/ultralight-trowel-by-boglerco?_pos=1&_sid=46d5c9565&_ss=r
hygiene,Toilet bag,DCF Bag,0.44,,,
aid kit,Med + Repair Kit,Including ibuprofen + allergy medicine + repair tape,3.35,,,https://www.rei.com/product/800721/adventure-medical-kits-ultralightwatertight-3-medical-kit
electronics,Headlamp,Nitecore NU25 UL,1.59,,,https://www.nitecorestore.com/NITECORE-NU25-UL-Headlamp-p/fl-nite-nu25-400ul-bk.htm
electronics,GPS Smartwatch,Garmin Enduro 2,1.8,yes,,https://www.garmin.com/en-US/p/854515
electronics,Phone,iPhone 16 Pro + case,7.8,yes,,https://www.apple.com/iphone-16-pro/
electronics,Powerbank,Nitecore NB10000,5.36,,,https://www.nitecorestore.com/Nitecore-NB10000-Gen-2-Power-Bank-p/bat-nite-nb10000.htm
miscellaneous,Trekking Pole,CNOC Cork Trekking Pole,9.66,yes,,https://cnocoutdoors.com/collections/trekking-poles/products/cnoc-telescopic-trekking-poles-cork-grip-single-pole?variant=31473597087833
miscellaneous,Bug Wipes,Picaridin insect repellent wipes,1.13,,yes,https://www.amazon.com/dp/B001ARBSTO/ref=cm_sw_em_r_mt_dp_m4ncGbXK3X4KD
miscellaneous,Glasses,Reading glasses + case + cleaning cloth,2.47,,,
miscellaneous,Wallet,Cards + Cash,2,,,
miscellaneous,House Keys,Building key + unit key + fob,1.2,,,
packed food + water,Water,2 liters of water,74.4,,yes,
packed food + water,Food,Dinner and breakfast + bars,16,,yes,
luxury items,Weather Sensor,SensorPush,1.02,,,https://www.amazon.com/dp/B08PKVRJJX?psc=1&ref=ppx_yo2ov_dt_b_product_details
luxury items,E-Reader,Amazon Kindle Paperwhite,7.23,,,https://www.amazon.com/dp/B08KTZ8249?psc=1&ref=ppx_yo2ov_dt_b_product_details
luxury items,Hammock,ENO Sub6 Ultralight Hammock,5.82,,,https://eaglesnestoutfittersinc.com/products/sub6-ultralight-hammock?_pos=1&_psq=sub6&_ss=e&_v=1.0
luxury items,Hammock Straps,ENO Ultralight Hammock straps w/o case,3.88,,,https://eaglesnestoutfittersinc.com/products/helios-ultralight-hammock-straps?pr_prod_strat=pinned&pr_rec_id=7532142bb&pr_rec_pid=4939070308489&pr_ref_pid=4613869240457&pr_seq=uniform
luxury items,Swiss army knife,Victorinox Classic,0.74,,,https://www.amazon.com/dp/B00004YVB2?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_1&th=1
luxury items,Body Wipes,Wet Ones wipes,2,,yes,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-travel-pack-fresh-20ct/-/A-15045578#lnk=sametab
luxury items,Pump Sack,Big Agnes Pumphouse Ultra,2.43,,,https://www.rei.com/product/115082/big-agnes-pumphouse-ultra?redirect-pup=false
luxury items,Headphones,Airpods Pro 2,1.9,,,https://www.amazon.com/dp/B0BDHWDR12?psc=1&ref=ppx_yo2ov_dt_b_product_details
luxury items,Saw,SILKY F180,5.3,,,https://www.rei.com/product/120670/silky-f180-folding-hand-saw?sku=1206700001&store=&CAWELAID=120217890003853916&CAGPSPN=pla&CAAGID=&CATCI=&cm_mmc=PLA_Google_PMax&gclsrc=aw.ds&gad_source=1&gbraid=0AAAAAD_DTlyHl0gqXtrJCGVfNBuoubVLp&gclid=Cj0KCQjw4v6-BhDuARIsALprm3277k8CQRlYxGyhgrDx96-wJYYZWDhgWanHxuHy9t3Kp1ESMOBXZ0saAgVPEALw_wcB
luxury items,Fire starter,1 stick,1,,,https://www.amazon.com/dp/B000LBS6LS?tag=mylifeoutdo0b-20&th=1&psc=1&geniuslink=true
luxury items,Earplugs,Loop Quiet 2,0.5,,,https://www.amazon.com/dp/B0D3V61JC8?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
