name,category,desc,qty,weight,unit,url,price,worn,consumable
IsoPro 4oz Fuel,Kitchen,MSR,1,5.96,ounce,https://www.rei.com/product/849634/msr-isopro-fuel-canister-39-oz-110g,6,,Consumable
Food Bag Hanging Kit,Kitchen,LiteAF,1,2.32,ounce,https://liteaf.com/product/flat-bottom-bear-bag-kit-complete-bear-bag-kit/,0,,
Lighter,Kitchen,Bic,1,0.78,ounce,,2,,Consumable
Bandana Potholder,Kitchen,Ex Officio,1,0.63,ounce,https://www.amazon.com/gp/product/B077THYP76/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,12,,
Odor Proof Trash Pouch,Kitchen,Wallaby Goods,1,0.5,ounce,https://wallabygoods.com/products/mylar-mre-pouches,18,,
Quickdraw Filter,Water,Platypus,0,2.4,ounce,https://www.rei.com/product/188475,50,,
ThruBottle x 2,Water,CNOC,1,6.36,ounce,https://minimalgear.com/products/cnocoutdoors-thrubottle,26,,
2L Wide Mouth Pouch,Water,CNOC,0,2.5,ounce,https://minimalgear.com/collections/cnocoutdoors-collecting/products/cnocoutdoors-vecto-28mm?variant=40173968326745,24,,
Toothpaste Tablets x 4,Hygiene,Unpaste,1,0.5,ounce,https://www.garagegrowngear.com/products/tooth-tabs-by-unpaste?_pos=2&_sid=0f63bc8ef&_ss=r,9,,Consumable
Foldable Travel Toothbrush,Hygiene,Target,1,0.74,ounce,https://www.target.com/p/foldable-travel-toothbrush-up-38-up-8482/-/A-89947685#lnk=sametab,2,,
SPF 15 Chapstick,Hygiene,Walgreens,1,0.32,ounce,,2,,Consumable
Hair Ties x 2,Hygiene,Target,1,0.16,ounce,,2,,
Toilet paper,Hygiene,Charmin,1,1.45,ounce,,2,,Consumable
Ultralight Trowel,Hygiene,BoglerCo,1,0.46,ounce,https://www.garagegrowngear.com/products/ultralight-trowel-by-boglerco?_pos=1&_sid=46d5c9565&_ss=r,18,,
Body Wipes,Hygiene,Wet Ones,1,1.16,ounce,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-travel-pack-fresh-20ct/-/A-15045578#lnk=sametab,2,,Consumable
Toilet bag,Hygiene,Zpacks,1,0.44,ounce,,25,,
Powdered Hand soap,Hygiene,Pika Outdoors,1,1.4,ounce,https://www.garagegrowngear.com/products/summit-suds-powdered-soap-by-pika-outdoors?_pos=1&_sid=9ed7b983a&_ss=r,6.5,,
Med + Repair Kit,Aid Kit,REI,1,1.73,ounce,,10,,
Pills x 3,Aid Kit,Lactaid,1,0.1,ounce,,0,,
NU25 UL Headlamp,Electronics,Nitecore,1,1.59,ounce,https://www.nitecorestore.com/NITECORE-NU25-UL-Headlamp-p/fl-nite-nu25-400ul-bk.htm,37,,
Ultra 3 Watch,Electronics,Apple,1,2.25,ounce,https://www.apple.com/apple-watch-ultra-3/,900,Worn,
iPhone 16 Pro Phone,Electronics,Apple,1,6,ounce,https://www.apple.com/iphone-16-pro/,0,,
12 inch USB-C to USB-C Cable,Electronics,Amazon,1,0.5,ounce,https://www.amazon.com/Charging-480Mbps-Transfer-Braided-Compatible/dp/B0FL1XW2JY/ref=sr_1_1?crid=2VUBCAHDQJMHC&dib=eyJ2IjoiMSJ9.lOi8uuGBbCqrwNv3bPlGvWyAAhdInQOTHzwfW-s4Es3YH1VmiCzIAsMpIN1ChbV169s61xPOIr47bxMVPR0maTo-aKSmlRPkkOUIAH-FKjCTRGRoJGtxXFwZK9FF1vWjELadarhVpWvR8SKXVtCKj_alQEVEuWoTzNrFq1fIVPDiBIxfls8Aj0cC__9oKfo-vHzPWH83n0EokqTE1bTdZ0u4N0s4TpQEoG45I841xfk.uvEd6o2kS8ZGSgGXFXyPZ54_lHuSu4QJOst_1-2UW9A&dib_tag=se&keywords=3%2Binch%2Busb-c%2Bto%2Busb-c%2Bcable&qid=1760976756&sprefix=3%2Binch%2Busb-c%2Bto%2Busb-c%2Bcab%2Caps%2C281&sr=8-1&th=1,7,,
Wallet,Miscellaneous,Misc,1,2,ounce,,0,,
House Keys,Miscellaneous,Misc,1,1.2,ounce,,0,,
Water 2 Liters,Packed Food + Water,Earth,1,70.5,ounce,,0,,Consumable
Food,Packed Food + Water,REI,1,32.83,ounce,,0,,Consumable
Swiss army knife,Luxury Items,Victorinox,1,0.74,ounce,https://www.amazon.com/dp/B00004YVB2?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_1&th=1,24,,
Weather Sensor,Luxury Items,SensorPush,1,1.02,ounce,https://www.amazon.com/dp/B08PKVRJJX?psc=1&ref=ppx_yo2ov_dt_b_product_details,90,,
Quiet 2 Earplugs,Luxury Items,Loop,1,0.5,ounce,https://www.amazon.com/dp/B0D3V61JC8?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,21,,
Wired Headphones,Luxury Items,Apple,1,0.46,ounce,,0,,
Lightening to USB-C Adapter,Luxury Items,Amazon,1,0.2,ounce,https://www.amazon.com/dp/B0F21NW45C,12,,
Thinlight Foam Pad,Luxury Items,Gossamer Gear,1,3.3,ounce,https://www.garagegrowngear.com/products/thinlight-foam-pad-1-8-by-gossamer-gear?variant=44562074960059,32,,
