category,type,name,weight,worn,consumable,link
electronics,charger,iPhone Power Brick 5W,1.44,,,
electronics,,iPhone X,6.8,yes,,https://support.apple.com/en-us/111864
electronics,adapter,All-in-One,3.2,,,https://www.amazon.com/gp/product/B01I9F3ONC
electronics,cable,iPhone USB,1,,,
electronics,cable,Anker,1,,,
electronics,headphones,Apple wired,0.46,yes,,
packed food + water,snacks,,8,,yes,
packed food + water,water,3 liters,111.6,,yes,
miscellaneous,knee brace,Patella Stabilizer,10.56,yes,,https://www.amazon.com/dp/B07D5C3YJ4
miscellaneous,laundry bag,Scrubba Wash,5.3,,,https://www.amazon.com/dp/B01N68XF0O
miscellaneous,whistle,,0.42,,,https://www.amazon.com/gp/product/B072J2MWZ6
miscellaneous,packable backpack,,4,,,https://www.amazon.com/dp/B07B3LDM4Y
miscellaneous,money belt,Eagle Creek Travel,1,yes,,https://www.amazon.com/dp/B0054IH4N4
miscellaneous,trekking poles,Leki Corklite,19.1,yes,,https://www.rei.com/product/881622/leki-corklite-trekking-poles-pair
miscellaneous,earplugs,AnMeng,0.81,,,https://www.amazon.com/dp/B071FJXCY9
miscellaneous,reading glasses,,2.47,,,
miscellaneous,wallet,,2,,,
miscellaneous,passport,,1.5,,,
miscellaneous,keys,Building + unit,1.2,,,
miscellaneous,toiletry bag,NeatPack,3.2,,,https://www.amazon.com/dp/B017X2WJME
miscellaneous,detergent,S2S Laundry Wash,3.14,,yes,https://www.amazon.com/dp/B002UOZT3M
miscellaneous,clothesline,S2S Lite,1.3,,,https://www.rei.com/product/807452/sea-to-summit-lite-line-clothesline
miscellaneous,multi-tool,Gerber,1.41,,,https://www.amazon.com/dp/B00TBF5JC4
miscellaneous,laundry clips,,1.32,,,https://www.amazon.com/dp/B00AT9RTAG
miscellaneous,emergency,Mylar,0.5,,,https://www.amazon.com/dp/B01LYNWRLA
miscellaneous,trekking pole bag,,0.92,,,https://www.amazon.com/dp/B01I98YQA4
miscellaneous,compass,TruArc 3,1.1,,,https://www.rei.com/product/877062/brunton-truarc-3-compass
miscellaneous,stuff sack,S2S Ultra-sil,1,,,https://www.amazon.com/dp/B0754NKQ69
miscellaneous,stuff sack,S2S Ultra-sil,1,,,https://www.amazon.com/dp/B0754NKQ69
miscellaneous,stuff sack,S2S Ultra-sil,1,,,https://www.amazon.com/dp/B0754NKQ69
miscellaneous,stuff sack,S2S Ultra-sil,1,,,https://www.amazon.com/dp/B0754NKQ69
